index,TEAM_CITY,FG3M
10,Houston,1495.0
9,Golden State,1355.0
27,Toronto,1301.0
16,Milwaukee,1297.0
1,Boston,1134.0
2,Brooklyn,1102.0
24,Portland,1093.0
0,Atlanta,1067.0
28,Utah,1040.0
7,Denver,1037.0
8,Detroit,1037.0
6,Dallas,1022.0
22,Philadelphia,1002.0
21,Orlando,989.0
20,Oklahoma City,984.0
3,Charlotte,977.0
29,Washington,930.0
15,Miami,928.0
25,Sacramento,927.0
12,LA,890.0
26,San Antonio,859.0
13,Los Angeles,847.0
5,Cleveland,847.0
18,New Orleans,842.0
17,Minnesota,827.0
19,New York,823.0
11,Indiana,819.0
14,Memphis,811.0
23,Phoenix,790.0
4,Chicago,745.0
